Referência;12/2010;
#118947/38;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/40;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/86;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/136;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/135;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/134;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/133;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/151;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/132;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/131;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/130;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/129;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/128;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/137;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/138;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/139;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/150;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/149;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/148;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/147;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/146;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/145;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/143;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/142;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/141;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/140;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/127;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/126;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/111;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/110;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/109;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/108;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/107;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/106;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/105;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/104;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/101;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/102;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/112;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
