Relatório ;1;;;;;;;
Entre ;26/01/2014 00:00:00 e 26/05/2014 23:59:59 ;tirado em 26/05/2014 19:00:53;;;;;;
17/02/2014 10:43:05;#284906/1;Nascimento ;32.76;;32.76;Depósito;Sim;
04/04/2014 09:56:16;#291963/1;Nascimento ;40.6;;40.60;Depósito;Sim;
31/03/2014 15:56:47;#292490/1;Nascimento ;50;;50.00;Depósito;Sim;
14/03/2014 09:39:19;#289144/1;Nascimento ;50;;50.00;Depósito;Sim;
21/03/2014 07:43:15;#288811/1;Nascimento ;106.1;;106.10;Depósito;Sim;
28/03/2014 07:34:33;#291807/2;Nascimento ;39;;39.00;Depósito;Sim;
21/03/2014 07:43:16;#282148/5;Nascimento ;49;;49.00;Depósito;Sim;
14/02/2014 09:11:36;#284781/1;Nascimento ;55.20;;55.20;Depósito;Sim;
28/03/2014 07:34:34;#292209/1;Nascimento ;178.2;;178.20;Depósito;Sim;
28/03/2014 07:34:34;#291991/1;Nascimento ;52;;52.00;Depósito;Sim;
28/03/2014 07:34:34;#291729/1;Nascimento ;34;;34.00;Depósito;Sim;
21/03/2014 07:43:16;#290169/1;Nascimento ;80;;80.00;Depósito;Sim;
13/03/2014 20:53:46;#289399/1;Nascimento ;72.1;;72.10;Depósito;Sim;
13/03/2014 20:53:45;#288811/2;Nascimento ;68;;68.00;Depósito;Sim;
19/03/2014 09:04:55;#289613/1;Nascimento ;50;;50.00;Depósito;Sim;
31/03/2014 15:56:46;#288154/1;Nascimento ;31.3;;31.30;Depósito;Sim;
17/03/2014 07:58:46;#289653/1;Nascimento ;45;;45.00;Depósito;Sim;
26/03/2014 08:24:57;#291740/1;Nascimento ;48;;48.00;Depósito;Sim;
19/03/2014 09:04:54;#289903/1;Nascimento ;30;;30.00;Depósito;Sim;
26/03/2014 08:24:57;#291678/1;Nascimento ;67;;67.00;Depósito;Sim;
19/03/2014 09:04:54;#289911/1;Nascimento ;39.07;;39.07;Depósito;Sim;
07/04/2014 09:16:55;#294010/1;Nascimento ;65;;65.00;Depósito;Sim;
26/03/2014 08:24:57;#291521/1;Nascimento ;65;;65.00;Depósito;Sim;
17/03/2014 07:58:46;#289810/1;Nascimento ;105;;105.00;Depósito;Sim;
28/03/2014 07:34:33;#291807/1;Nascimento ;50;;50.00;Depósito;Sim;
17/03/2014 07:58:45;#281770/1;Nascimento ;45;;45.00;Depósito;Sim;
21/03/2014 07:43:15;#290476/1;Nascimento ;70;;70.00;Depósito;Sim;
07/04/2014 09:16:55;#293757/1;Nascimento ;36.25;;36.25;Depósito;Sim;
26/03/2014 08:24:58;#292028/1;Nascimento ;85;;85.00;Depósito;Sim;
;

28/03/2014 07:34:34;#292029/1;Negativa de Protesto ;18.71;;18.71;Dinheiro;Sim;
;

03/04/2014 10:05:52;#293370/1;Notificação ;110;;110.00;Depósito;Sim;
;

19/03/2014 09:04:54;#290069/1;Óbito ;59.7;;59.70;Depósito;Sim;
12/03/2014 09:30:27;#288586/1;Óbito ;76;;76.00;Depósito;Sim;
17/03/2014 07:58:46;#287721/1;Óbito ;111.3;;111.30;Depósito;Sim;
12/03/2014 09:30:29;#289031/1;Óbito ;99.7;;99.70;Depósito;Sim;
14/05/2014 08:59:08;#299916/2;Óbito ;15;;15.00;Depósito;Sim;
14/05/2014 08:59:08;#299916/3;Óbito ;15;;15.00;Depósito;Sim;
14/05/2014 08:59:08;#299916/1;Óbito ;35;;35.00;Depósito;Sim;
14/05/2014 08:52:03;#299916/4;Óbito ;0.01;;0.01;Dinheiro;Sim;
15/05/2014 08:50:09;#300335/1;Óbito ;29.1;;29.10;Dinheiro;Sim;
;

13/02/2014 16:02:06;#281277/1;Outros Serviços ;903.58;;903.58;Depósito;Sim;
13/02/2014 16:08:29;#281268/1;Outros Serviços ;540.40;;540.40;Depósito;Sim;
21/03/2014 07:43:16;#290517/1;Outros Serviços ;121;;121.00;Depósito;Sim;
13/02/2014 16:10:13;#281271/1;Outros Serviços ;823.50;;823.50;Depósito;Sim;
13/03/2014 08:12:25;#268284/1;Outros Serviços ;5279.27;;5,279.27;Depósito;Sim;
13/02/2014 16:06:28;#281280/1;Outros Serviços ;1507.55;;1,507.55;Depósito;Sim;
31/03/2014 15:56:45;#279120/1;Outros Serviços ;50;;50.00;Depósito;Sim;
28/03/2014 07:34:33;#284409/1;Outros Serviços ;5298.32;0;5,298.32;Boleto;Sim;
08/05/2014 09:27:17;#287597/1;Outros Serviços ;55;;55.00;Depósito;Sim;
21/05/2014 08:27:14;#298096/1;Outros Serviços ;43;;43.00;Depósito;Não;
21/03/2014 07:43:16;#284396/1;Outros Serviços ;55.4;;55.40;Depósito;Sim;
11/04/2014 10:55:30;#293784/1;Outros Serviços ;32;;32.00;Depósito;Sim;
07/05/2014 09:34:23;#284406/1;Outros Serviços ;48.6;;48.60;Depósito;Sim;
14/04/2014 17:54:52;#291918/1;Outros Serviços ;2064.54;;2,064.54;Depósito;Sim;
13/02/2014 16:12:16;#269628/2;Outros Serviços ;683.00;;683.00;Depósito;Sim;
31/03/2014 15:56:47;#268284/1;Outros Serviços ;246.54;;246.54;Depósito;Sim;
07/04/2014 09:11:53;#291919/1;Outros Serviços ;1193.42;;1,193.42;Depósito;Sim;
07/05/2014 09:34:20;#296113/1;Outros Serviços ;10;;10.00;Depósito;Sim;
07/05/2014 09:34:21;#291940/1;Outros Serviços ;26.3;;26.30;Depósito;Sim;
14/04/2014 17:54:53;#291933/1;Outros Serviços ;919.27;;919.27;Depósito;Sim;
14/04/2014 17:54:53;#291936/1;Outros Serviços ;401.96;;401.96;Depósito;Sim;
21/03/2014 07:43:18;#287713/1;Outros Serviços ;32;;32.00;Depósito;Sim;
14/05/2014 08:59:07;#293782/1;Outros Serviços ;811.2;;811.20;Depósito;Sim;
28/04/2014 10:34:59;#284408/1;Outros Serviços ;1153.27;;1,153.27;Depósito;Sim;
28/04/2014 10:34:59;#284406/1;Outros Serviços ;48.6;;48.60;Depósito;Sim;
28/04/2014 10:35:00;#297253/1;Outros Serviços ;60;;60.00;Depósito;Sim;
17/03/2014 07:58:46;#277794/1;Outros Serviços ;75.11;;75.11;Depósito;Sim;
16/05/2014 08:20:56;#291938/1;Outros Serviços ;1132.68;;1,132.68;Depósito;Sim;
24/04/2014 13:17:19;#267898/1;Outros Serviços ;2452.43;;2,452.43;Depósito;Sim;
24/04/2014 13:17:18;#284409/1;Outros Serviços ;55;;55.00;Depósito;Sim;
06/05/2014 09:37:48;#297253/1;Outros Serviços ;20.51;;20.51;Depósito;Sim;
16/05/2014 08:20:56;#291938/1;Outros Serviços ;1132.68;;1,132.68;Depósito;Sim;
14/05/2014 08:59:08;#297163/1;Outros Serviços ;225;;225.00;Depósito;Sim;
13/05/2014 08:28:40;#299125/1;Outros Serviços ;56.9;;56.90;Depósito;Sim;
12/03/2014 09:30:28;#289120/1;Outros Serviços ;80;;80.00;Depósito;Sim;
14/05/2014 08:59:07;#296122/1;Outros Serviços ;538;;538.00;Depósito;Sim;
14/05/2014 08:59:06;#293784/1;Outros Serviços ;1151.78;;1,151.78;Depósito;Sim;
14/05/2014 08:59:07;#297161/1;Outros Serviços ;272.95;;272.95;Depósito;Sim;
13/05/2014 08:28:41;#296125/1;Outros Serviços ;910.64;;910.64;Depósito;Sim;
13/05/2014 08:28:40;#296120/1;Outros Serviços ;859.54;;859.54;Depósito;Sim;
13/05/2014 08:28:40;#293792/1;Outros Serviços ;1786.63;;1,786.63;Depósito;Sim;
14/05/2014 08:59:07;#293795/1;Outros Serviços ;810.81;;810.81;Depósito;Sim;
13/05/2014 08:28:40;#297158/1;Outros Serviços ;537.4;;537.40;Depósito;Sim;
14/03/2014 09:39:20;#275251/1;Outros Serviços ;42;;42.00;Depósito;Sim;
25/04/2014 10:26:11;#297158/1;Outros Serviços ;35;;35.00;Depósito;Sim;
25/04/2014 08:45:20;#297104/1;Outros Serviços ;18.71;;18.71;Dinheiro;Sim;
14/05/2014 08:59:08;#293783/1;Outros Serviços ;1217.05;;1,217.05;Depósito;Sim;
25/04/2014 08:45:20;#297104/3;Outros Serviços ;18.71;;18.71;Dinheiro;Sim;
25/04/2014 08:45:20;#297104/2;Outros Serviços ;18.71;;18.71;Dinheiro;Sim;
31/03/2014 15:56:44;#284399/1;Outros Serviços ;2666.9;;2,666.90;Depósito;Sim;
31/03/2014 15:56:44;#289350/1;Outros Serviços ;1117.68;;1,117.68;Depósito;Sim;
30/04/2014 09:03:01;#297574/1;Outros Serviços ;168.85;;168.85;Dinheiro;Sim;
25/04/2014 10:26:10;#287602/1;Outros Serviços ;1321.68;;1,321.68;Depósito;Sim;
15/05/2014 09:07:41;#293793/1;Outros Serviços ;60;;60.00;Depósito;Sim;
28/04/2014 10:35:00;#291944/1;Outros Serviços ;956.16;;956.16;Depósito;Sim;
25/04/2014 10:26:10;#278444/1;Outros Serviços ;802.83;;802.83;Depósito;Sim;
25/04/2014 10:26:10;#289353/1;Outros Serviços ;790.86;;790.86;Depósito;Sim;
25/04/2014 10:26:09;#284403/1;Outros Serviços ;1135.65;;1,135.65;Depósito;Sim;
12/05/2014 09:28:33;#296118/1;Outros Serviços ;1136.08;;1,136.08;Depósito;Sim;
25/04/2014 10:26:09;#289358/1;Outros Serviços ;2200;;2,200.00;Depósito;Sim;
29/04/2014 09:36:05;#278437/1;Outros Serviços ;27.34;;27.34;Depósito;Sim;
13/03/2014 20:53:46;#278431/1;Outros Serviços ;22.74;;22.74;Depósito;Sim;
14/05/2014 08:59:09;#297160/1;Outros Serviços ;318.33;;318.33;Depósito;Sim;
17/03/2014 07:58:46;#287599/1;Outros Serviços ;1419;;1,419.00;Depósito;Sim;
13/03/2014 08:45:03;#287604/1;Outros Serviços ;70;;70.00;Depósito;Sim;
31/03/2014 15:56:43;#287713/1;Outros Serviços ;7;;7.00;Depósito;Sim;
17/03/2014 07:58:47;#287604/1;Outros Serviços ;269.73;;269.73;Depósito;Sim;
20/05/2014 08:14:24;#284652/1;Outros Serviços ;7091.59;;7,091.59;Boleto;Não;
17/03/2014 07:58:46;#287600/1;Outros Serviços ;1811;;1,811.00;Depósito;Sim;
31/03/2014 15:56:44;#287605/1;Outros Serviços ;683;;683.00;Cheque;Sim;
;

16/05/2014 08:38:41;#296081/2;Pesquisa de Imóveis - Através de Certidõ;58.2;;58.20;Dinheiro;Sim;
;;;;Total;78675.94;;;
