Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#151345/442;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/443;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/444;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/445;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/446;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/447;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/448;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/449;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/450;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/451;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/452;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/453;;6 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/454;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/455;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/456;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/457;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/458;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/459;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/460;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/461;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/462;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/463;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/464;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/465;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/466;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/467;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/468;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/469;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/470;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/471;;6 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/472;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/473;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/474;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/475;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/476;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/477;;6 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/478;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/479;;8 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/480;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/481;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/482;;7 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/483;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/484;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/485;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/486;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/487;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/488;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/489;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/490;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/491;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/492;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/493;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/494;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/495;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/496;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/497;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/498;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/499;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/500;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/501;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/502;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/503;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/504;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/505;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/506;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/507;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/508;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/509;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/510;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/511;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/512;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/513;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/514;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/515;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/516;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/517;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/518;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/519;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/520;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/521;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/522;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/523;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/524;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/525;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/526;;9 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/527;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/528;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/529;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/530;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/531;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/532;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/533;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/534;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/535;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/536;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/537;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/538;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/539;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/540;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/541;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/542;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/543;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/544;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/545;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/546;;7 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/547;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/548;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/549;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/550;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/551;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/552;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/553;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/554;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/555;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/556;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/557;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/558;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/559;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/560;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/561;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/562;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/563;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/564;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/565;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/566;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/567;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/568;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/569;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/570;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/571;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/572;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/573;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/574;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/575;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/576;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/577;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/578;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/579;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/580;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/581;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/582;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/583;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/584;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/585;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/586;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/587;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/588;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#150478/22;;Negativa ;;
#151481/2;;Negativa ;;
#151481/4;;Negativa ;;
#151481/6;;1 Positiva ;;
#151487/2;;Negativa ;;
