Referência;12/2012;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Recife - PE;R$ 16,50;R$ 6,60;R$ 330,00;R$ 0,00;5.00% do Bruto
Resende - RJ;R$ 91,83;R$ 36,73;R$ 1.836,55;R$ 0,00;5.00% do Bruto
Ribeirão Pires - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Ribeirão Preto - SP;R$ 29,88;R$ 5,69;R$ 1.142,00;R$ 806,00;10.50% do Líquido
Rio Branco - AC;R$ 500,00;R$ 20,92;R$ 1.046,00;R$ 0,00;Fixo 500.00 semestre
Rio Claro - SP;R$ 400,00;R$ 25,70;R$ 1.285,00;R$ 0,00;Fixo 400.00 semestre
Rio Grande - RS;R$ 300,00;R$ 14,27;R$ 713,51;R$ 0,00;Fixo 300.00 semestre
Rio Grande da Serra – SP;R$ 12,37;R$ 2,36;R$ 160,00;R$ 35,00;10.50% do Líquido
Rondonópolis - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Salto - SP;R$ 23,96;R$ 9,59;R$ 479,26;R$ 0,00;5.00% do Bruto
Salvador - BA;R$ 1.000,00;R$ 11,00;R$ 550,00;R$ 0,00;Fixo 1000.00 semestre
Santa Bárbara d´Oeste - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Santa Cruz - RJ;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Santana - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santana de Parnaíba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santarém - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santo Amaro - SP;R$ 1.750,00;R$ 74,86;R$ 3.743,00;R$ 0,00;Fixo 1750.00 semestre
Santo André - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santo André LJ 02;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Santos - SP;R$ 300,00;R$ 20,44;R$ 1.022,00;R$ 0,00;Fixo 300.00 semestre
São Bernardo do Campo - LJ 02 - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
São Carlos - SP;R$ 57,72;R$ 23,09;R$ 1.154,40;R$ 0,00;5.00% do Bruto
São Gonçalo - RJ;R$ 1.000,00;R$ 4,66;R$ 233,06;R$ 0,00;Fixo 1000.00 semestre
São José - SC;R$ 252,01;R$ 48,00;R$ 4.640,90;R$ 2.032,00;10.50% do Líquido
São José do Rio Preto - SP;R$ 4.037,91;R$ 769,13;R$ 69.610,98;R$ 22.509,00;10.50% do Líquido
São José dos Campos - SP;R$ 487,78;R$ 195,11;R$ 9.755,50;R$ 0,00;5.00% do Bruto
São José dos Pinhais - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
São Lourenço - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
São Luis - MA;R$ 424,97;R$ 169,99;R$ 8.499,39;R$ 0,00;5.00% do Bruto
São Pedro da Aldeia - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
São Roque - SP;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Sinop - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Sorocaba - SP;R$ 1.000,00;R$ 62,34;R$ 3.117,00;R$ 0,00;Fixo 1000.00 semestre
Sumaré - SP;R$ 3,50;R$ 1,40;R$ 70,00;R$ 0,00;5.00% do Bruto
Suzano / Itaquaquecetuba / Arujá / Mogi- SP;R$ 226,53;R$ 90,61;R$ 4.530,54;R$ 0,00;5.00% do Bruto
Taboão da Serra - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Tatuapé - São Paulo - SP;R$ 600,00;R$ 60,00;R$ 1.837,00;R$ 0,00;Fixo 600.00 semestre
Tatuí - SP;R$ 500,00;R$ 0,28;R$ 14,00;R$ 0,00;Fixo 500.00 semestre
Taubaté - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Teixeira de Freitas - BA;R$ 500,00;R$ 20,90;R$ 1.045,00;R$ 0,00;Fixo 500.00 semestre
Teófilo Otoni - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Teresópolis - RJ;R$ 500,00;R$ 13,36;R$ 668,00;R$ 0,00;Fixo 500.00 semestre
Timóteo - MG;R$ 8,00;R$ 1,60;R$ 80,00;R$ 0,00;10.00% do Bruto
Tocantins - TO;R$ 158,01;R$ 63,20;R$ 3.160,17;R$ 0,00;5.00% do Bruto
Três Corações - MG;R$ 500,00;R$ 1,58;R$ 79,06;R$ 0,00;Fixo 500.00 semestre
Uberaba - MG;R$ 500,00;R$ 46,65;R$ 2.332,25;R$ 0,00;Fixo 500.00 semestre
Uberlândia - MG;R$ 1.615,64;R$ 646,25;R$ 32.312,74;R$ 0,00;5.00% do Bruto
Umuarama - PR;R$ 500,00;R$ 15,14;R$ 757,06;R$ 0,00;Fixo 500.00 semestre
Valinhos - SP;R$ 400,00;R$ 19,11;R$ 955,53;R$ 0,00;Fixo 400.00 semestre
Viçosa - MG;R$ 200,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 200.00 semestre
Vinhedo - SP;R$ 500,00;R$ 45,10;R$ 2.255,00;R$ 0,00;Fixo 500.00 semestre
Vitória da Conquista - BA;R$ 26,88;R$ 8,96;R$ 448,00;R$ 0,00;6.00% do Bruto
Volta Redonda - RJ;R$ 500,00;R$ 7,00;R$ 350,00;R$ 0,00;Fixo 500.00 semestre
Total;R$ 59.285,09;R$ 5.556,29;R$ 325.721,80;R$ 39.224,00
