Ordens;Protocolo;Resposta ;custas;motivo do atraso
#153374/257;;Negativa ;;
#153374/258;;1 Positiva ;;
#153374/259;;2 Positiva ;;
#153374/260;;1 Positiva ;;
#153374/261;;2 Positiva ;;
#153374/262;;Negativa ;;
#153374/263;;3 Positiva ;;
#153374/264;;Negativa ;;
#153374/265;;Negativa ;;
#153374/266;;2 Positiva ;;
#153374/267;;Negativa ;;
#153374/268;;Negativa ;;
#153374/269;;3 Positiva ;;
#153374/270;;1 Positiva ;;
#153374/271;;1 Positiva ;;
#153374/272;;Negativa ;;
#153374/273;;2 Positiva ;;
#153374/274;;1 Positiva ;;
#153374/275;;Negativa ;;
#153374/276;;1 Positiva ;;
#153374/277;;Negativa ;;
#153374/278;;Negativa ;;
#153374/279;;2 Positiva ;;
#153374/280;;2 Positiva ;;
#153374/281;;Negativa ;;
#153374/282;;1 Positiva ;;
#153374/283;;Negativa ;;
#153374/284;;2 Positiva ;;
#153374/285;;4 Positiva ;;
#153374/286;;2 Positiva ;;
#153374/287;;1 Positiva ;;
#153374/288;;1 Positiva ;;
#153374/289;;2 Positiva ;;
#153374/290;;2 Positiva ;;
#153374/291;;1 Positiva ;;
#153374/292;;1 Positiva ;;
#153374/293;;Negativa ;;
#153374/294;;3 Positiva ;;
#153374/295;;3 Positiva ;;
#153374/296;;2 Positiva ;;
#153374/297;;1 Positiva ;;
#153374/298;;2 Positiva ;;
#153374/299;;3 Positiva ;;
#153374/300;;Negativa ;;
#153374/301;;Negativa ;;
#153374/302;;Negativa ;;
#153374/303;;Negativa ;;
#153374/304;;1 Positiva ;;
#153374/305;;Negativa ;;
#153374/306;;2 Positiva ;;
#153374/307;;Negativa ;;
#153374/308;;Negativa ;;
#153374/309;;1 Positiva ;;
#153374/310;;3 Positiva ;;
#153374/311;;Negativa ;;
#153374/312;;Negativa ;;
#153374/313;;1 Positiva ;;
#153374/314;;Negativa ;;
#153374/315;;4 Positiva ;;
#153374/316;;Negativa ;;
#153374/317;;Negativa ;;
#153374/318;;1 Positiva ;;
#153374/319;;2 Positiva ;;
#153374/320;;4 Positiva ;;
#153374/321;;2 Positiva ;;
#153374/322;;Negativa ;;
#153374/323;;1 Positiva ;;
#153374/324;;Negativa ;;
#153374/325;;1 Positiva ;;
#153374/326;;10 Positiva ;;
#153374/327;;Negativa ;;
#153374/328;;Negativa ;;
#153374/329;;Negativa ;;
#153374/330;;Negativa ;;
#153374/331;;Negativa ;;
#153374/332;;1 Positiva ;;
#153374/333;;1 Positiva ;;
#153374/334;;1 Positiva ;;
#153374/335;;Negativa ;;
#153374/336;;1 Positiva ;;
#153374/337;;1 Positiva ;;
#153374/338;;Negativa ;;
#153374/339;;1 Positiva ;;
#153374/340;;1 Positiva ;;
#153374/341;;2 Positiva ;;
#153374/342;;1 Positiva ;;
#153374/343;;1 Positiva ;;
#153374/344;;Negativa ;;
#153374/345;;1 Positiva ;;
#153374/346;;Negativa ;;
#153374/347;;4 Positiva ;;
#153374/348;;Negativa ;;
#153374/349;;2 Positiva ;;
#153374/350;;3 Positiva ;;
#153374/351;;Negativa ;;
#153374/352;;Negativa ;;
#153374/353;;2 Positiva ;;
#153374/354;;Negativa ;;
#153374/355;;Negativa ;;
#153374/356;;Negativa ;;
#153374/357;;Negativa ;;
#153374/358;;Negativa ;;
#153374/359;;Negativa ;;
#153374/360;;Negativa ;;
#153374/361;;4 Positiva ;;
#153374/362;;1 Positiva ;;
#153374/363;;1 Positiva ;;
#153374/364;;Negativa ;;
#153374/365;;1 Positiva ;;
#153374/366;;Negativa ;;
#153374/367;;2 Positiva ;;
#153374/368;;1 Positiva ;;
#153374/369;;Negativa ;;
#153374/370;;Negativa ;;
#153374/371;;2 Positiva ;;
#153374/372;;Negativa ;;
#153374/373;;Negativa ;;
#153374/374;;Negativa ;;
#153374/375;;Negativa ;;
#153374/376;;Negativa ;;
#153374/377;;Negativa ;;
#153374/378;;4 Positiva ;;
#153374/379;;Negativa ;;
#153374/380;;Negativa ;;
#153374/381;;Negativa ;;
#153374/382;;Negativa ;;
#153374/383;;3 Positiva ;;
#153374/384;;Negativa ;;
#153374/385;;Negativa ;;
#153374/386;;2 Positiva ;;
#153374/387;;1 Positiva ;;
#153374/388;;1 Positiva ;;
#153374/389;;1 Positiva ;;
#153374/390;;1 Positiva ;;
#153374/391;;2 Positiva ;;
#153374/392;;Negativa ;;
#153374/393;;2 Positiva ;;
#153374/394;;1 Positiva ;;
#153374/395;;Negativa ;;
#153374/396;;1 Positiva ;;
#153374/397;;Negativa ;;
#153374/398;;Negativa ;;
#153374/399;;Negativa ;;
#153374/400;;1 Positiva ;;
#153374/401;;2 Positiva ;;
#153374/402;;1 Positiva ;;
#153374/403;;6 Positiva ;;
#153374/404;;Negativa ;;
#153374/405;;6 Positiva ;;
#153374/406;;Negativa ;;
#153374/407;;1 Positiva ;;
#153374/408;;Negativa ;;
#153374/409;;Negativa ;;
#153374/410;;Negativa ;;
#153374/411;;1 Positiva ;;
#153374/412;;Negativa ;;
#153374/413;;3 Positiva ;;
#153374/414;;Negativa ;;
#153374/415;;1 Positiva ;;
#153374/416;;Negativa ;;
#153374/417;;2 Positiva ;;
#153374/418;;Negativa ;;
#153374/419;;Negativa ;;
#153374/420;;1 Positiva ;;
#153374/421;;Negativa ;;
#153374/422;;Negativa ;;
#153374/423;;Negativa ;;
#153374/424;;2 Positiva ;;
#153374/425;;1 Positiva ;;
#153374/426;;1 Positiva ;;
#153374/427;;3 Positiva ;;
#153374/428;;Negativa ;;
#153374/429;;Negativa ;;
#153374/430;;1 Positiva ;;
#153374/431;;1 Positiva ;;
#153374/432;;1 Positiva ;;
#153374/433;;2 Positiva ;;
#153374/434;;Negativa ;;
#153374/435;;Negativa ;;
#153374/436;;1 Positiva ;;
#153374/437;;1 Positiva ;;
#153374/438;;Negativa ;;
#153374/439;;Negativa ;;
#153374/440;;1 Positiva ;;
#153374/441;;1 Positiva ;;
#153374/442;;3 Positiva ;;
#153374/443;;Negativa ;;
#153374/444;;Negativa ;;
#153374/445;;Negativa ;;
#153374/446;;Negativa ;;
#153374/447;;Negativa ;;
#153374/448;;1 Positiva ;;
#153374/449;;Negativa ;;
#153374/450;;Negativa ;;
#153374/451;;Negativa ;;
#153374/452;;2 Positiva ;;
#153374/453;;1 Positiva ;;
#153374/454;;Negativa ;;
#153374/455;;1 Positiva ;;
#153374/456;;4 Positiva ;;
#153374/457;;1 Positiva ;;
#153374/458;;Negativa ;;
#153374/459;;1 Positiva ;;
#153374/460;;2 Positiva ;;
#153374/461;;4 Positiva ;;
#153374/462;;1 Positiva ;;
#153374/463;;Negativa ;;
#153374/464;;Negativa ;;
#153374/465;;1 Positiva ;;
#153374/466;;2 Positiva ;;
#153374/467;;Negativa ;;
#153374/468;;1 Positiva ;;
#153374/469;;Negativa ;;
#153374/470;;1 Positiva ;;
#153374/471;;1 Positiva ;;
#153374/472;;Negativa ;;
#153374/473;;3 Positiva ;;
#153374/474;;1 Positiva ;;
#153374/475;;Negativa ;;
#153374/476;;Negativa ;;
#153374/477;;1 Positiva ;;
#153374/478;;Negativa ;;
#153374/479;;Negativa ;;
#153374/480;;5 Positiva ;;
#153374/481;;4 Positiva ;;
#153374/482;;Negativa ;;
#153374/483;;1 Positiva ;;
#153374/484;;1 Positiva ;;
#153374/485;;Negativa ;;
#153374/486;;Negativa ;;
#153374/487;;Negativa ;;
#153374/488;;Negativa ;;
#153374/489;;Negativa ;;
#153374/490;;1 Positiva ;;
#153374/491;;2 Positiva ;;
#153374/492;;1 Positiva ;;
#153374/493;;2 Positiva ;;
#153374/494;;1 Positiva ;;
#153374/495;;Negativa ;;
#153374/496;;Negativa ;;
#153374/497;;3 Positiva ;;
#153374/498;;Negativa ;;
#153374/499;;3 Positiva ;;
#153374/500;;Negativa ;;
#153374/501;;2 Positiva ;;
#153374/502;;1 Positiva ;;
#153374/503;;Negativa ;;
#153374/504;;Negativa ;;
#153374/509;;2 Positiva ;;
#153374/510;;9 Positiva ;;
#153374/511;;2 Positiva ;;
#153374/512;;1 Positiva ;;
#153374/513;;Negativa ;;
#153374/514;;2 Positiva ;;
#153374/515;;Negativa ;;
#153374/516;;1 Positiva ;;
#153374/517;;Negativa ;;
#153374/518;;1 Positiva ;;
#153374/519;;Negativa ;;
#153374/520;;2 Positiva ;;
#153374/521;;4 Positiva ;;
#153374/522;;Negativa ;;
#153374/523;;Negativa ;;
#153374/524;;Negativa ;;
#153374/525;;Negativa ;;
#153374/526;;Negativa ;;
#153374/527;;Negativa ;;
#153374/528;;Negativa ;;
#153374/529;;Negativa ;;
#153374/530;;Negativa ;;
#153374/531;;4 Positiva ;;
#153374/532;;1 Positiva ;;
#153374/533;;2 Positiva ;;
#153374/534;;Negativa ;;
#153374/535;;Negativa ;;
#153374/536;;1 Positiva ;;
#153374/537;;1 Positiva ;;
#153374/538;;2 Positiva ;;
#153374/539;;3 Positiva ;;
#153374/540;;1 Positiva ;;
#153374/541;;1 Positiva ;;
#153421/2;;Negativa ;;
#153421/4;;Negativa ;;
#153431/2;;1 Positiva ;;
#153537/2;;Negativa ;;
#153537/4;;1 Positiva ;;
#153541/2;;Negativa ;;
#153541/4;;3 Positiva ;;
#153570/2;;Negativa ;;
#153570/4;;2 Positiva ;;
#153570/6;;Negativa ;;
#153570/8;;Negativa ;;
#153570/10;;2 Positiva ;;
#153570/12;;Negativa ;;
#153570/14;;Negativa ;;
#153570/16;;Negativa ;;
#153570/18;;Negativa ;;
#153575/2;;2 Positiva ;;
#153575/4;;Negativa ;;
#153575/6;;Negativa ;;
#153575/8;;Negativa ;;
#153575/10;;Negativa ;;
#153575/12;;Negativa ;;
#153575/14;;Negativa ;;
#153575/16;;Negativa ;;
#153575/18;;Negativa ;;
#153612/2;;Negativa ;;
#153614/2;;Negativa ;;
#153614/4;;4 Positiva ;;
#153614/6;;Negativa ;;
#153616/2;;1 Positiva ;;
#153616/4;;1 Positiva ;;
#153619/2;;3 Positiva ;;
#153619/4;;2 Positiva ;;
#153619/6;;Negativa ;;
#153619/8;;Negativa ;;
#153627/2;;1 Positiva ;;
