0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    03082010                                                                                                                                                                                                                                                                                                                                                                                                000001
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600027039411913999-1      20072010600BRADESCO S/A        1908201000000000001823900CC                                                                                                                                                                                                                                                                                                                                                                                           107695-34     000041
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600028039412124003-1      21072010900BRADESCO S/A        2008201000000000001476800CC                                                                                                                                                                                                                                                                                                                                                                                           107695-35     000042
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600029039463544007-1      21072010600BRADESCO S/A        2008201000000000001128400CC                                                                                                                                                                                                                                                                                                                                                                                           107695-36     000043
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600030039463974016-1      22072010900BRADESCO S/A        2108201000000000001686100CC                                                                                                                                                                                                                                                                                                                                                                                           107695-37     000044
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600031039469824044-1      23072010600BRADESCO S/A        2308201000000000001329900CC                                                                                                                                                                                                                                                                                                                                                                                           107695-38     000045
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA235560003203949540138363-1    26072010600BRADESCO S/A        1608201000000000001246728CC                                                                                                                                                                                                                                                                                                                                                                                           107695-39     000046
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600033039519864076-1      27072010600BRADESCO S/A        2608201000000000001027000CC                                                                                                                                                                                                                                                                                                                                                                                           107695-40     000047
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600034039582044109        29072010900BRADESCO S/A        2808201000000000001400100CC                                                                                                                                                                                                                                                                                                                                                                                           107695-41     000048
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000103933457894-1       15072010900BRADESCO S/A        1608201000000000001327700CC                                                                                                                                                                                                                                                                                                                                                                                           107695-42     000049
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000203924491830-1       05072010900BRADESCO S/A        0408201000000000000762300CC                                                                                                                                                                                                                                                                                                                                                                                           107695-43     000050
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000303924504133478-1    05072010900BRADESCO S/A        0408201000000000001950200CC                                                                                                                                                                                                                                                                                                                                                                                           107695-44     000051
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000403924539133487-1    05072010900BRADESCO S/A        0408201000000000001686200CC                                                                                                                                                                                                                                                                                                                                                                                           107695-45     000052
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000503925276834-1       06072010900BRADESCO S/A        0508201000000000000564300CC                                                                                                                                                                                                                                                                                                                                                                                           107695-46     000053
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000603925314133792-1    06072010900BRADESCO S/A        0508201000000000001520400CC                                                                                                                                                                                                                                                                                                                                                                                           107695-47     000054
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000703925322133799-1    06072010900BRADESCO S/A        0508201000000000001472800CC                                                                                                                                                                                                                                                                                                                                                                                           107695-48     000055
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000803928585837-1       07072010900BRADESCO S/A        0608201000000000001150600CC                                                                                                                                                                                                                                                                                                                                                                                           107695-49     000056
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570000903928593133812-1    06072010900BRADESCO S/A        0508201000000000001434300CC                                                                                                                                                                                                                                                                                                                                                                                           107695-50     000057
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             002916265008063JBS S/A                                 RODOVIA BR 364 KM 245 S/N               CACOAL                                  78976970RO235570001003928607134105-1    07072010900BRADESCO S/A        0608201000000000001820000CC                                                                                                                                                                                                                                                                                                                                                                                           107695-51     000058
